HTTrack3.49-2+htsswf+htsjava launched on Fri, 23 Jun 2017 15:16:28 at http://evoting.ust.edu.ng +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://evoting.ust.edu.ng -O1 "C:\My Web Sites\vote" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

15:49:06	Error: 	"Not Found" (404) at link evoting.ust.edu.ng/demosthenes.info/assets/images/polina.html (from evoting.ust.edu.ng/css/style.css)
15:49:06	Error: 	"Connect Error" (-4) after 2 retries at link evoting.ust.edu.ng/index.html (from evoting.ust.edu.ng/)
15:49:06	Warning: 	Retry after error -4 (Connect Error) at link evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid= (from evoting.ust.edu.ng/report.html)
15:49:06	Error: 	"Connect Error" (-4) after 2 retries at link evoting.ust.edu.ng/includes/sqlview.php (from evoting.ust.edu.ng/)
15:49:06	Error: 	"Connect Error" (-4) after 2 retries at link evoting.ust.edu.ng/manifesto.html (from evoting.ust.edu.ng/)
15:49:06	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/jquery.min.js (from evoting.ust.edu.ng/)
15:49:06	Error: 	"Cancelled by User" (-1) at link evoting.ust.edu.ng/js/lightslider.js (from evoting.ust.edu.ng/)
15:49:06	Warning: 	Retry after error -4 (Connect Error) at link evoting.ust.edu.ng/includes/ajaxaction.php?Action=showCandidate&cat= (from evoting.ust.edu.ng/voting.html)
15:49:27	Warning: 	Retry after error -4 (Connect Error) at link evoting.ust.edu.ng/includes/ajaxaction.php?Action=showReport&pid= (from evoting.ust.edu.ng/report.html)
15:49:27	Warning: 	Retry after error -4 (Connect Error) at link evoting.ust.edu.ng/includes/ajaxaction.php?Action=showCandidate&cat= (from evoting.ust.edu.ng/voting.html)
15:51:27	Error: 	"Receive Time Out" (-2) after 2 retries at link evoting.ust.edu.ng/includes/ajaxaction.php?Action=showCandidate&cat= (from evoting.ust.edu.ng/voting.html)

HTTrack Website Copier/3.49-2 mirror complete in 34 minutes 58 seconds : 132 links scanned, 64 files written (1480448 bytes overall) [1269964 bytes received at 605 bytes/sec], 307818 bytes transferred using HTTP compression in 24 files, ratio 18%
(24 errors, 43 warnings, 0 messages)
